Complexité global;;;;;Complexité de rapports;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
dimension;Niveau;Nombre d'élément;complexité;;"Nbre de
 rapports";"Nbre de 
Sources ";"Type 
de source";"Nbre de 
Destination";"Type de 
destination";"Nbre de 
prédicats";"Type de 
prédicat";Complexité;;
Ducuments ;1;1;1;;2;1;Ducuments;2;Acteurs;0;;5;;
Acteur;1;2;2;;2;2;Acteurs;1;Concepts;2;Concepts;7;;
Acteur;1;2;2;;3;3;Concepts;3;Concepts;2;Concepts;11;;
Concept;1;1;1;;7;;;;;;;23;;
Concept;2;1;2;;;;;;;;;;;
Concept;3;1;3;;;;;;;;;;;
Concept;4;2;8;;;;;;;;;;;
Concept;5;6;30;;;;;;;;;;;
Rapport;18;16;49;;;;;;;;;;;
